SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
DEBE04YY50000ATs_01;2013;0,437;46,518;ID_74d02dd7-6245-4b41-b786-c432d0bdbf6f;1294664037;LOD2;2520;385392,7;5820429,3;266;44;85,5;40,00;139,6;5;5,20;1040;36;63;154;238;221;234;196;215;160;78;48;29;
DEBE3Dh0fKWNIP8N;;0,423;10,135;ID_917d95d0-8d48-48f3-b83f-476bcad890b7;410969531;LOD2;3031;384149,9;5820316,2;175;29;48,5;40,00;137,4;2;2,05;1023;30;56;151;247;222;223;200;210;163;75;46;22;
DEBE04YY500009rR_02;;0,600;7,831;ID_c4a25287-546d-4313-9b86-e06776b7f15e;114464710;LOD2;2120;385155,0;5820156,1;180;0;52,7;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000BBT;;0,640;6,091;ID_1316bb35-cea4-4509-a5c2-06541f9aa5f4;712853435;LOD2;2591;384953,8;5820832,6;197;43;83,0;40,00;143,6;4;4,28;1069;37;67;173;259;216;213;190;214;179;87;58;27;
DEBE3D04YY50000Rbf;;1,035;3,320;ID_98b091dc-5c56-45f0-919a-e1f55d767c16;44019059;LOD2;2523;384846,8;5821625,1;180;0;135,9;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500008pH;1905;0,312;19,194;ID_c4315198-563d-49e2-ab00-45a7a508f313;2127816527;LOD2;1010;384598,4;5820690,9;180;0;408,4;30,00;138,7;18;18,59;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DHPdpKR6EUE;;0,293;12,939;ID_34511c1e-120f-42e4-86bb-c38e53a9069c;827860359;LOD2;2111;384818,9;5821522,9;180;0;102,1;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DgyldXiZV2n;1905;0,333;22,848;ID_23e464d0-3c3c-4d35-b299-6b2198931939;1727408636;LOD2;1010;384715,0;5820654,6;287;14;207,3;40,00;131,7;12;11,76;980;31;55;129;221;221;236;203;205;143;70;38;24;
DEBE04YY500000pJ_01;1905;0,560;6,415;ID_2fed40a9-72f3-4b26-a866-0114df39bb60;148162995;LOD2;3021;384861,2;5820621,9;180;0;132,8;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DBt07FNqSiI;1900;0,465;20,015;ID_6b1b6e9e-bbff-4706-a3d7-bb8bfc54e37b;444468220;LOD2;1010;385213,2;5820899,6;270;9;146,4;30,00;138,7;6;6,20;1033;32;56;132;226;223;235;205;206;146;71;39;25;
UUID_36c90184-e157-4901-b38c-9e3e724ba9c5;2013;0,369;23,825;ID_7a435f44-9c89-4fd2-b3b1-d7e818e0c00c;2110690425;LOD2;2100;385515,2;5820551,5;183;41;104,9;40,00;140,6;6;6,28;1047;33;61;164;255;218;216;194;212;172;82;53;24;
UUID_36c90184-e157-4901-b38c-9e3e724ba9c5;2013;0,369;23,825;ID_1b1cf283-498c-4028-8baf-7b5c1b7f950e;610985200;LOD2;2100;385515,2;5820551,5;180;0;138,3;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DAaR5QpU0ht;1905;0,344;18,283;ID_2f67a5f0-ae96-41e3-9133-44c9c86bbad3;325144070;LOD2;1010;384586,0;5820755,6;180;0;161,1;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DAaR5QpU0ht;1905;0,344;18,283;ID_05ac957d-e08f-4235-877c-6d8ff6542e02;1789199780;LOD2;1010;384586,0;5820755,6;246;45;57,8;40,00;148,0;3;3,30;1102;42;70;170;255;228;234;198;223;174;87;57;34;
DEBE04YY50000B63_01;;0,466;23,293;ID_62630b94-0e84-48b1-94ad-ae989a7c9a88;230267341;LOD2;2200;384661,0;5821515,1;180;0;80,6;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500009Qd;1905;0,301;21,426;ID_eff62f25-9bc2-4c1d-9df1-219443f60089;1275626790;LOD2;1010;384559,0;5820808,4;180;0;759,7;30,00;138,7;34;35,12;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000RdA;1905;0,399;16,137;ID_cd29da23-4d84-49d8-9bb9-a4b9ca9100ee;1465523543;LOD2;1010;384811,5;5820845,1;180;0;206,5;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DVHLgYXpDsu;;0,330;23,542;ID_fb87cd1a-092e-4cf1-a270-17f53fcf6400;862350381;LOD2;1010;384460,9;5821962,0;180;0;146,6;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DvhYsSFu6oN;;0,277;21,780;ID_a4f7405d-b4a2-4eb0-a76c-f3d3894bd69f;2097922574;LOD2;1010;384818,7;5820309,2;93;10;205,4;30,00;138,7;9;9,30;1033;23;43;108;200;205;215;194;183;125;58;29;17;
DEBE3DvhYsSFu6oN;;0,277;21,780;ID_6469b061-d052-4bd3-b2d1-2b2ab180fc31;2076496705;LOD2;1010;384818,7;5820309,2;273;52;79,0;40,00;131,9;4;3,93;982;32;59;143;223;213;227;189;204;150;72;43;25;
UUID_4c96d9f6-72ce-4c0d-9aaf-2381605605ad;1905;0,389;16,201;ID_44bae29c-7f82-41c8-914b-55c152abb50e;977919965;LOD2;1010;384765,6;5820817,2;180;0;175,2;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DkyEllK54JQ;1985;0,339;21,283;ID_59ed3d3f-7015-4e5d-9df4-1a47e12f5055;425744534;LOD2;2071;385120,3;5820603,8;180;0;58,1;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DaPkAJWNFxE;;0,252;14,900;ID_1878fe6e-18f5-49bb-8d22-9713d0b38e16;1964539166;LOD2;2142;385059,7;5821593,7;180;0;642,6;30,00;138,7;28;28,92;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500008nI;;0,208;24,913;ID_45558a28-e6c9-4d1b-a62d-61244121fc98;1125214964;LOD2;2111;384528,0;5821586,3;180;0;1211,1;30,00;138,7;54;55,78;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dj5PfHq90WQ;;0,175;19,166;ID_8d48a3c6-2920-4552-8b03-29097b9e1a65;621693507;LOD2;1022;384342,9;5820034,0;180;0;43,8;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DU6ewacolyd;;0,481;7,513;ID_302f1d55-4d8c-4c48-85fb-d5300501ff51;1121063681;LOD2;2111;384833,9;5821608,7;257;47;48,7;40,00;144,5;2;2,15;1076;40;67;163;248;225;235;197;220;168;83;53;31;
DEBE3Dbzb72NgtSj;;0,249;21,637;ID_1b279e9a-204b-4ce3-b1e4-7c5087021a06;159476854;LOD2;1010;384701,5;5820071,9;281;11;249,7;40,00;131,7;14;13,73;981;31;55;129;222;221;235;204;204;144;70;38;24;
DEBE04YY500005Wi_01;1925;0,509;21,912;ID_d28408f0-af6e-47ad-8d0b-d1bde8af5369;2049275900;LOD2;1010;384500,0;5821255,6;260;8;89,6;30,00;138,7;4;4,13;1033;32;57;135;229;225;236;206;208;149;72;41;26;
DEBE3D04YY50000JQ4;;0,357;17,024;ID_9c749f1f-5cde-495e-ae04-369210091d62;2057243831;LOD2;1010;384858,4;5820260,5;201;14;98,9;40,00;139,7;5;5,20;1040;33;59;147;244;228;233;207;214;160;77;45;25;
DEBE3D04AL5e30000G;;0,317;21,314;ID_d480997a-235e-430b-b94e-165f8d786e33;105780774;LOD2;1120;384165,2;5820042,3;180;0;235,9;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DGR8oPbDhKP;1925;0,551;20,002;ID_c9e2398d-f2af-40ae-8e38-f49e90c5e157;515577290;LOD2;1120;384502,1;5821244,5;260;7;55,8;30,00;138,7;2;2,07;1033;30;54;128;222;221;232;204;203;143;69;38;24;
DEBE04YY50000R0d_01;;0,296;9,638;ID_dad6525c-48cf-45db-aa15-e37ee86c8854;1115351658;LOD2;2020;385171,1;5821411,5;180;0;1468,8;30,00;138,7;66;68,18;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002QTp;;0,756;4,452;ID_7d089713-c235-45c1-91f6-212ace706cc9;2032568095;LOD2;2120;385728,4;5821185,6;180;0;204,0;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500007aH_04;;0,107;28,166;ID_9aef21a8-629f-4104-880a-e30be46f7268;719647888;LOD2;2020;385041,1;5820969,4;180;0;215,4;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500007aH_03;;0,103;25,474;ID_6ec9ce4a-8ea6-420b-b299-091de54b3fff;89151721;LOD2;2020;385023,9;5820973,0;285;15;216,7;40,00;131,7;13;12,74;980;31;55;129;221;221;236;203;205;143;70;38;24;
DEBE3D01YYK0003U8t;;2,078;4,177;ID_4d28744f-7798-4ea0-a0fb-153def24bb75;954692964;LOD2;1610;385891,9;5821919,1;180;0;43,5;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000R0d_02;;0,494;4,501;ID_0b13ba39-8852-4b27-9bce-e84a6d44f12e;1621308160;LOD2;2020;385149,0;5821404,5;180;0;568,4;30,00;138,7;25;25,82;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dp3xkH9AlIZ;1955;0,358;18,373;ID_18a57fd6-c6d6-4a9b-aa15-8004a63accdd;456953409;LOD2;1010;384914,3;5821184,5;284;37;142,0;40,00;129,7;8;7,73;966;30;56;133;217;214;232;195;203;143;69;38;23;
DEBE3D04YY50000JNM;1905;0,371;22,847;ID_18b15835-873d-4777-8d1e-a5aef9afe796;1627081368;LOD2;1010;384606,7;5820714,1;286;2;283,9;30,00;138,7;12;12,40;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DpQAzncf79k;1900;0,240;20,783;ID_4a214975-c8bd-4718-9f69-9f316dc1fc68;142666774;LOD2;1010;385117,8;5820835,8;180;41;55,9;40,00;138,5;3;3,09;1031;31;59;159;251;217;215;194;210;169;79;51;23;
DEBE3DwYc8eqAvcp;1905;0,308;23,444;ID_c73784a9-e360-47f0-b65d-4e761fba80f3;1723034437;LOD2;1120;384639,2;5820627,4;54;5;301,3;30,00;138,7;13;13,43;1033;25;46;109;202;208;220;196;186;126;60;30;19;
DEBE3DHhyG63VGOM;;0,369;18,956;ID_b2b1e32a-aba5-41d2-a8e5-fecc07328777;1638090033;LOD2;1010;385935,5;5821217,0;198;29;72,0;40,00;146,4;4;4,36;1090;36;65;166;260;229;230;204;221;175;85;54;28;
DEBE3DHhyG63VGOM;;0,369;18,956;ID_c92e08ba-8a61-427a-972a-d9c8ae60b41f;130813998;LOD2;1010;385935,5;5821217,0;18;4;114,0;30,00;138,7;5;5,16;1033;26;47;110;201;209;222;197;187;127;61;31;20;
DEBE04YY50000LeJ_02;;0,597;5,575;ID_085f3b73-97ec-4e27-83be-3dbe5ef1deba;598326465;LOD2;1022;385394,3;5820208,3;180;0;413,6;30,00;138,7;18;18,59;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500009La;;0,350;18,861;ID_ab7dbad9-a37a-4bd0-8b38-a38ac907140d;922256120;LOD2;1010;384909,8;5820077,4;180;0;185,0;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_842ad32d-0455-4575-9fca-c2f034bb2987;;0,534;14,483;ID_4d398325-c31e-4286-96b0-969c4272297c;1221204498;LOD2;1010;385161,2;5820031,6;180;0;86,4;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DiWSZ946gmM;;0,240;11,007;ID_d64408dd-e422-42a3-861a-ffb51a6337af;236788124;LOD2;2143;385258,9;5821350,1;180;0;2932,3;30,00;138,7;131;135,32;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_2a97d689-7cc7-4ab4-b392-da49df73b55a;;0,346;21,730;ID_10761708-eba9-4b4d-a2a3-cba3c74b07b1;1116507110;LOD2;1010;385709,6;5820053,9;302;5;242,4;30,00;138,7;10;10,33;1033;29;52;122;215;217;230;202;198;138;67;35;23;
DEBE3DZRpvYPCW43;1925;0,699;22,888;ID_39b8425e-595c-4619-ac3e-8dd4ec1bd450;18938863;LOD2;1010;385479,1;5820708,5;183;29;65,1;40,00;141,5;3;3,16;1053;33;60;158;254;225;225;201;215;169;80;50;24;
DEBE3DrdbpPbrUs0;;0,244;19,950;ID_bab91400-5f93-4505-9b96-8c3d698d366d;229831773;LOD2;1010;385022,9;5820122,5;180;0;144,7;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrdbpPbrUs0;;0,244;19,950;ID_1758c680-800e-475b-8c44-496a50ac963b;1481488234;LOD2;1010;385022,9;5820122,5;176;48;94,7;40,00;131,6;5;4,90;980;29;55;155;241;205;200;182;199;164;75;50;21;
DEBE3DiVBq5vCkVI;;0,200;9,995;ID_43376d52-89a7-4b7e-927a-e9fedb873a2a;839072968;LOD2;2143;385867,5;5821907,6;180;0;1721,0;30,00;138,7;77;79,54;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DcxJ7ag8wh5;;0,245;9,363;ID_ef6b1128-6568-4211-a25f-503ec24ca96b;1595626279;LOD2;2053;385981,4;5821813,7;180;0;1604,9;30,00;138,7;72;74,38;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DEpWesQltuu;1900;0,273;21,531;ID_13c4c665-dfaf-4864-a8a7-3a436a2ff7df;609998995;LOD2;1010;385317,2;5820755,7;271;10;250,3;30,00;138,7;11;11,36;1033;32;56;132;226;223;235;205;206;146;71;39;25;
DEBE3DzOg34ihEG3;1905;0,491;20,787;ID_86a74377-a36d-499b-bca0-ca8058d95d42;1975568012;LOD2;1010;384784,6;5820531,7;129;10;72,9;30,00;138,7;3;3,10;1033;24;46;119;214;213;221;198;192;135;62;33;19;
DEBE3DiMDv6HWLsx;1955;0,609;12,953;ID_a91baabf-fcd3-49b1-85f4-d91800deb9b1;2067523141;LOD2;2111;385281,8;5820708,6;182;2;145,9;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DnXGn7hhzzT;;0,432;16,181;ID_f8e96a71-c7ef-40c2-9e90-c7f11536222c;1276717856;LOD2;1010;384322,2;5821932,2;180;0;92,7;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dc88jGEowVu;2013;0,066;61,045;ID_c1799bed-f174-489c-b473-a0ff23d9acb4;252729017;LOD2;2520;385312,5;5820363,5;86;2;168,5;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500009KN;1905;0,375;10,784;ID_43a2a450-8e17-45e5-95e2-1bec7bd1e8a5;534454278;LOD2;2310;385695,4;5820624,7;259;28;119,6;40,00;142,6;7;7,43;1062;37;64;153;243;228;241;204;219;162;80;48;29;
DEBE3D04YY500009KN;1905;0,375;10,784;ID_0f8494fb-c221-4a5c-ba22-a8e0ff1933da;569149323;LOD2;2310;385695,4;5820624,7;259;1;151,4;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DcFhlFn0MuM;;1,201;2,623;ID_72a734f4-d6c7-4b1a-9064-63724264dfe8;1585318289;LOD2;2463;384851,3;5820008,6;180;0;114,0;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrckPsyscHR;2013;0,266;8,842;ID_fb201c75-dee2-43ce-871a-d1ef054b76e0;1144188647;LOD2;2111;385186,5;5820414,3;180;0;877,5;30,00;138,7;39;40,29;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_633a7d01-5462-4140-87ff-9c52bda4fe70;;0,341;23,170;ID_6e013c69-658a-43a8-9160-49c83f019fd2;1794422351;LOD2;1010;384557,4;5820101,8;265;33;66,7;40,00;140,8;3;3,15;1048;36;63;152;239;226;239;201;217;160;78;47;28;
DEBE3D04YY50000Ixt;;1,150;2,605;ID_ad77dc50-9e65-48f2-abaf-d563b6551a75;1048604284;LOD2;1000;385129,1;5820054,7;180;0;108,0;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DX1IxFBPtgE;;0,277;16,698;ID_44a8e922-137e-4e74-999c-043a62c166d2;470104974;LOD2;1010;384621,1;5821977,9;180;0;215,3;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DD6UT09KaXK;1905;0,345;18,099;ID_10905d73-4066-478d-be4c-2f29f868d941;1270443529;LOD2;1010;384676,5;5820722,2;287;45;61,1;40,00;126,8;3;2,83;944;29;55;132;212;209;226;188;198;141;68;37;23;
DEBE3DD6UT09KaXK;1905;0,345;18,099;ID_910a3ea0-1ace-47cc-9bf7-d461520795c0;1045680620;LOD2;1010;384676,5;5820722,2;180;0;132,9;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DWMKNTi2KKw;1900;0,461;20,243;ID_85e952eb-28b9-4076-8f18-be1058d6cfe4;2137104717;LOD2;1010;385194,7;5820900,0;180;0;144,1;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000EWk_01;;0,970;16,453;ID_b73f4a5e-3adb-4475-956f-f3d09872c8fd;756232857;LOD2;1010;384978,4;5821955,0;180;0;42,8;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DCqD9cbSl3Z;1925;0,274;20,779;ID_d972fc0d-ae80-4e49-809d-a19d9ef10fbe;73475218;LOD2;1010;384592,2;5821234,1;169;46;247,5;40,00;131,4;14;13,69;978;27;53;150;241;209;206;188;200;160;73;47;19;
UUID_72b91406-0784-46b6-8563-0414a46e0fab;1905;0,322;25,737;ID_8be87b42-4bae-4c76-b03a-20535e390129;2049270748;LOD2;1010;385081,7;5821414,0;170;10;97,9;30,00;138,7;4;4,13;1033;28;52;132;229;221;228;204;203;147;69;39;22;
UUID_72b91406-0784-46b6-8563-0414a46e0fab;1905;0,322;25,737;ID_527a46a1-966d-446d-a244-4003edff187b;604394488;LOD2;1010;385081,7;5821414,0;261;7;52,2;30,00;138,7;2;2,07;1033;30;54;128;222;221;232;204;203;143;69;38;24;
DEBE3DLd6kqqnXkd;;0,206;20,830;ID_85001dad-1ab0-4a3d-9830-98500f7af70d;1574651769;LOD2;1010;385895,8;5820094,7;180;0;63,2;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DtyOiyFcmUL;;0,487;21,257;ID_592b0dca-acc7-4666-9692-bc8aec4b1f05;1387615175;LOD2;1010;385859,2;5821373,6;180;0;99,9;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Rko;;0,396;14,082;ID_3341424a-e951-40e0-b1eb-2c1dcee09e5f;1049720410;LOD2;1010;385634,0;5820134,0;104;3;206,5;30,00;138,7;9;9,30;1033;25;47;115;209;211;221;198;190;132;62;32;20;
DEBE3DyfPb7DFIgN;1900;0,349;24,128;ID_98445787-9cb4-4006-a4ac-0398e0f88508;415452388;LOD2;1010;385533,7;5820890,6;272;11;86,7;40,00;133,3;5;4,96;993;32;56;132;226;223;235;205;206;146;71;39;25;
DEBE3DdWCtTuHf6R;1905;0,246;23,667;ID_304d6698-465e-4e3b-9040-8243b510ec6e;1441449857;LOD2;1010;384532,0;5820896,3;261;55;300,8;40,00;138,9;18;18,62;1035;38;64;158;238;217;227;189;212;161;79;51;30;
DEBE3DRxc2xQuyw5;;0,370;16,371;ID_df0c33fa-cefa-4bcc-a872-3f410fac411b;1298461630;LOD2;1010;384221,0;5820053,1;180;0;139,7;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DYYMhs9wdKs;;0,349;11,170;ID_6ac0fe07-a6c3-4dd4-b5a5-83d8f17a76c7;121314918;LOD2;2141;385699,8;5821734,3;180;0;153,6;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DReLZlLk7IE;2013;0,221;16,706;ID_83710525-d978-48bc-8f8c-0627141c7f8a;704291901;LOD2;2522;385298,3;5820533,1;272;10;409,8;30,00;138,7;18;18,59;1033;32;56;132;226;223;235;205;206;146;71;39;25;
DEBE3DReLZlLk7IE;2013;0,221;16,706;ID_bd60a7cb-d4d9-47e5-a170-c95b81fd5681;496837951;LOD2;2522;385298,3;5820533,1;92;10;486,1;30,00;138,7;21;21,69;1033;23;43;106;198;204;214;193;182;123;57;28;17;
DEBE3D04YY50000RhR;1900;0,370;15,345;ID_9f523013-8861-441b-a1d5-5f5c750e39f2;1237947263;LOD2;1010;385211,8;5820751,4;180;0;282,7;30,00;138,7;12;12,40;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DqpAz65H0ak;;0,465;21,463;ID_a914fdff-8e66-41d7-9a1e-f99109fa57cb;69596561;LOD2;1010;385265,1;5820185,0;180;0;131,8;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DmymjFtPxoY;;0,198;9,813;ID_895133a0-913f-4cb0-959f-1d0ba5d45171;11192880;LOD2;2111;384490,6;5821616,0;339;6;94,9;30,00;138,7;4;4,13;1033;27;49;115;207;212;226;199;192;131;63;32;22;
DEBE3Dc9C9h5Gm85;;1,693;21,550;ID_d6889fd1-3042-45c6-a493-bead1cd28984;1581901731;LOD2;1010;385832,6;5820829,4;270;47;47,2;40,00;136,6;2;2,03;1017;34;61;149;232;219;232;194;211;155;76;46;27;
DEBE3Dc9C9h5Gm85;;1,693;21,550;ID_df7eab0f-9d20-40b0-b4ec-6b9a4c57cc55;2005758522;LOD2;1010;385832,6;5820829,4;180;47;399,8;40,00;136,8;23;23,42;1018;31;59;160;249;212;209;189;206;169;79;52;23;
DEBE3D01YYK0002PmN;;0,341;18,548;ID_02ed55ae-73a6-49ef-9308-13138f1e6662;98978446;LOD2;1010;385864,9;5821199,4;180;0;339,6;30,00;138,7;15;15,49;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DZbE12ZLpse;1955;0,516;16,985;ID_1348cae0-45c1-46bf-8498-df72e828a48b;875372705;LOD2;1010;384793,6;5820908,6;331;3;52,7;30,00;138,7;2;2,07;1033;28;50;116;208;213;227;200;193;133;64;33;22;
DEBE3DD4ViTT00Pu;;0,254;26,993;ID_3a57c5fe-5a6d-4f7b-9055-0cc62223b5c6;1824223356;LOD2;1010;385330,5;5820221,1;180;0;202,1;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DQxQVGNTzcr;1905;0,344;22,474;ID_afe8743b-484a-41e1-8dab-5c88381a6525;1696604660;LOD2;1010;384594,5;5820610,0;180;0;219,3;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000AgW;1955;0,424;16,514;ID_fd9dab8d-53d1-4d1b-99b9-7c7d27fa5f63;411327340;LOD2;1010;384807,0;5820946,9;286;2;173,6;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50002Xum_01;2013;0,502;32,528;ID_11f4a4b1-d1de-4ef9-bc51-6c0deff69042;1250545813;LOD2;2520;385531,0;5820331,1;180;0;55,3;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500008w4;;1,078;3,501;ID_bd05d414-9a77-4222-a898-3f1bf6b154e5;1438575144;LOD2;2010;385398,4;5820071,7;180;0;40,3;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Afw;;0,527;5,025;ID_3a17b459-d22b-4964-a04f-ef0c80fd5543;261034801;LOD2;2142;385054,0;5821021,2;194;6;294,7;30,00;138,7;13;13,43;1033;29;53;129;225;221;229;204;202;145;69;38;23;
UUID_9cdcd5c7-9c49-4c6b-a2e6-7f2d9d2eb3f4;;0,307;21,307;ID_f65f7e0a-06c5-4ea0-b923-2ee2adcc836d;158914017;LOD2;1010;384509,0;5820078,0;180;0;410,7;30,00;138,7;18;18,59;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500009XJ;2013;0,300;23,490;ID_d255960d-ccfc-4bf7-8971-39fa215a7e34;149739852;LOD2;1010;385096,5;5820554,9;180;0;232,0;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DuUtczs60VP;1905;0,485;20,159;ID_c10d4ea1-f142-4aaf-80a4-f75edcc2f238;168357765;LOD2;1010;384716,3;5820704,2;180;0;87,9;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DVvDX6wNKvx;;0,276;21,906;ID_f29f7831-f62a-4b25-8dab-643e876d0971;1165752661;LOD2;1010;385625,3;5820097,6;104;4;144,5;30,00;138,7;6;6,20;1033;25;47;115;209;211;221;198;190;132;62;32;20;
DEBE3DC1SXPnlsR3;;0,465;21,889;ID_2b784067-8aac-49d8-ab35-dbe8883a311e;319006006;LOD2;1010;384917,8;5820938,1;196;13;81,9;40,00;138,9;4;4,14;1034;32;58;146;243;228;232;207;213;159;76;44;25;
